"UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO ESTIMADA"
"SP",35,"50308","São Paulo",12106920
"RJ",33,"04557","Rio de Janeiro",6520266
"DF",53,"00108","Brasília",3039444
"BA",29,"27408","Salvador",2953986
"CE",23,"04400","Fortaleza",2627482
"MG",31,"06200","Belo Horizonte",2523794
"AM",13,"02603","Manaus",2130264
"PR",41,"06902","Curitiba",1908359
"PE",26,"11606","Recife",1633697
"RS",43,"14902","Porto Alegre",1484941
"GO",52,"08707","Goiânia",1466105
"PA",15,"01402","Belém",1452275
"SP",35,"18800","Guarulhos",1349113
"SP",35,"09502","Campinas",1182429
"MA",21,"11300","São Luís",1091868
"RJ",33,"04904","São Gonçalo",1049826
"AL",27,"04302","Maceió",1029129
"RJ",33,"01702","Duque de Caxias",890997
"RN",24,"08102","Natal",885180
"MS",50,"02704","Campo Grande",874210
"PI",22,"11001","Teresina",850198
"SP",35,"48708","São Bernardo do Campo",827437
"PB",25,"07507","João Pessoa",811598
"RJ",33,"03500","Nova Iguaçu",798647
"SP",35,"47809","Santo André",715231
"SP",35,"49904","São José dos Campos",703219
"SP",35,"34401","Osasco",697886
"PE",26,"07901","Jaboatão dos Guararapes",695956
"SP",35,"43402","Ribeirão Preto",682302
"MG",31,"70206","Uberlândia",676613
"SP",35,"52205","Sorocaba",659871
"MG",31,"18601","Contagem",658580
"SE",28,"00308","Aracaju",650106
"BA",29,"10800","Feira de Santana",627477
"MT",51,"03403","Cuiabá",590118
"SC",42,"09102","Joinville",577077
"MG",31,"36702","Juiz de Fora",563769
"PR",41,"13700","Londrina",558439
"GO",52,"01405","Aparecida de Goiânia",542090
"RO",11,"00205","Porto Velho",519436
"PA",15,"00800","Ananindeua",516057
"ES",32,"05002","Serra",502618
"RJ",33,"03302","Niterói",499028
"RJ",33,"00456","Belford Roxo",495783
"RJ",33,"01009","Campos dos Goytacazes",490288
"ES",32,"05200","Vila Velha",486388
"SC",42,"05407","Florianópolis",485838
"RS",43,"05108","Caxias do Sul",483377
"AP",16,"00303","Macapá",474706
"SP",35,"29401","Mauá",462005
"RJ",33,"05109","São João de Meriti",460461
"SP",35,"49805","São José do Rio Preto",450657
"SP",35,"48500","Santos",434742
"SP",35,"30607","Mogi das Cruzes",433901
"MG",31,"06705","Betim",427146
"SP",35,"13801","Diadema",417869
"PB",25,"04009","Campina Grande",410332
"SP",35,"25904","Jundiaí",409497
"PR",41,"15200","Maringá",406693
"MG",31,"43302","Montes Claros",402027
"SP",35,"38709","Piracicaba",397322
"SP",35,"10609","Carapicuíba",396587
"PE",26,"09600","Olinda",390771
"ES",32,"01308","Cariacica",387368
"AC",12,"00401","Rio Branco",383443
"GO",52,"01108","Anápolis",375142
"SP",35,"06003","Bauru",371690
"ES",32,"05309","Vitória",363140
"CE",23,"03709","Caucaia",362223
"SP",35,"23107","Itaquaquecetuba",360657
"SP",35,"51009","São Vicente",360380
"PE",26,"04106","Caruaru",356128
"BA",29,"33307","Vitória da Conquista",348718
"SC",42,"02404","Blumenau",348513
"SP",35,"16200","Franca",347237
"RS",43,"14407","Pelotas",344385
"PR",41,"19905","Ponta Grossa",344332
"RS",43,"04606","Canoas",343853
"PE",26,"11101","Petrolina",343219
"RR",14,"00100","Boa Vista",332020
"MG",31,"54606","Ribeirão das Neves",328871
"PE",26,"10707","Paulista",328353
"MG",31,"70107","Uberaba",328272
"PR",41,"04808","Cascavel",319608
"SP",35,"18701","Guarujá",315563
"SP",35,"41000","Praia Grande",310024
"SP",35,"54102","Taubaté",307953
"PR",41,"25506","São José dos Pinhais",307530
"SP",35,"26902","Limeira",300911
"RJ",33,"03906","Petrópolis",298235
"BA",29,"05701","Camaçari",296893
"PA",15,"06807","Santarém",296302
"RN",24,"08003","Mossoró",295619
"SP",35,"52502","Suzano",290769
"TO",17,"21000","Palmas",286787
"MG",31,"27701","Governador Valadares",280901
"SP",35,"52809","Taboão da Serra",279634
"RS",43,"16907","Santa Maria",278445
"RS",43,"09209","Gravataí",275146
"MT",51,"08402","Várzea Grande",274013
"SP",35,"52403","Sumaré",273007
"PA",15,"04208","Marabá",271594
"CE",23,"07304","Juazeiro do Norte",270383
"SP",35,"05708","Barueri",267534
"SP",35,"15004","Embu das Artes",267054
"RJ",33,"06305","Volta Redonda",265201
"PR",41,"08304","Foz do Iguaçu",264044
"MG",31,"31307","Ipatinga",261203
"RN",24,"03251","Parnamirim",254709
"MA",21,"05302","Imperatriz",254569
"RS",43,"23002","Viamão",253717
"RS",43,"13409","Novo Hamburgo",249508
"SP",35,"48906","São Carlos",246088
"RJ",33,"02403","Macaé",244139
"SC",42,"16602","São José",239718
"SP",35,"20509","Indaiatuba",239602
"SP",35,"13009","Cotia",237750
"RJ",33,"02502","Magé",237420
"PR",41,"05805","Colombo",237402
"MG",31,"67202","Sete Lagoas",236228
"SP",35,"29005","Marília",235234
"MG",31,"22306","Divinópolis",234937
"AL",27,"00300","Arapiraca",234185
"SP",35,"01608","Americana",233868
"RJ",33,"01900","Itaboraí",232394
"RS",43,"18705","São Leopoldo",230914
"SP",35,"03208","Araraquara",230770
"SP",35,"24402","Jacareí",229851
"SP",35,"22505","Itapevi",229502
"SP",35,"41406","Presidente Prudente",225271
"CE",23,"07650","Maracanaú",224804
"MT",51,"07602","Rondonópolis",222316
"SP",35,"19071","Hortolândia",222186
"BA",29,"18407","Juazeiro",221773
"BA",29,"14802","Itabuna",221046
"MG",31,"57807","Santa Luzia",218897
"MS",50,"03702","Dourados",218069
"GO",52,"18805","Rio Verde",217048
"RJ",33,"00704","Cabo Frio",216030
"SC",42,"04202","Chapecó",213279
"SC",42,"08203","Itajaí",212615
"ES",32,"01209","Cachoeiro de Itapemirim",211649
"SC",42,"04608","Criciúma",211369
"RS",43,"15602","Rio Grande",209378
"RS",43,"00604","Alvorada",208177
"CE",23,"12908","Sobral",205529
"PE",26,"02902","Cabo de Santo Agostinho",204653
"SP",35,"43907","Rio Claro",202952
"PA",15,"05536","Parauapebas",202356
"GO",52,"12501","Luziânia",199615
"RS",43,"14100","Passo Fundo",198799
"BA",29,"19207","Lauro de Freitas",197636
"GO",52,"00258","Águas Lindas de Goiás",195810
"PA",15,"02400","Castanhal",195253
"SP",35,"02804","Araçatuba",194874
"RJ",33,"00100","Angra dos Reis",194619
"SP",35,"45803","Santa Bárbara d'Oeste",191889
"SP",35,"15707","Ferraz de Vasconcelos",188868
"RJ",33,"03401","Nova Friburgo",185381
"SE",28,"04805","Nossa Senhora do Socorro",181928
"PR",41,"09401","Guarapuava",180364
"RJ",33,"00407","Barra Mansa",179451
"MG",31,"29806","Ibirité",177475
"MA",21,"11201","São José de Ribamar",176418
"BA",29,"13606","Ilhéus",176341
"RJ",33,"05802","Teresópolis",176060
"TO",17,"02109","Araguaína",175960
"SP",35,"16309","Francisco Morato",171602
"RJ",33,"02858","Mesquita",171280
"SP",35,"22208","Itapecerica da Serra",170927
"SC",42,"08906","Jaraguá do Sul",170835
"SP",35,"23909","Itu",170157
"ES",32,"03205","Linhares",169048
"MA",21,"12209","Timon",167619
"MG",31,"51800","Poços de Caldas",166085
"SC",42,"11900","Palhoça",164926
"SP",35,"07605","Bragança Paulista",164163
"SP",35,"38006","Pindamonhangaba",164000
"MA",21,"03000","Caxias",162657
"BA",29,"18001","Jequié",162209
"BA",29,"31350","Teixeira de Freitas",161690
"SP",35,"22307","Itapetininga",160070
"SP",35,"48807","São Caetano do Sul",159608
"GO",52,"21858","Valparaíso de Goiás",159500
"SC",42,"09300","Lages",158508
"RJ",33,"03203","Nilópolis",158329
"BA",29,"03201","Barreiras",157638
"PE",26,"03454","Camaragibe",156361
"BA",29,"00702","Alagoinhas",155979
"PA",15,"00107","Abaetetuba",153380
"RJ",33,"02700","Maricá",153008
"PR",41,"18204","Paranaguá",152975
"MG",31,"48004","Patos de Minas",150893
"PI",22,"07702","Parnaíba",150547
"SP",35,"16408","Franco da Rocha",149502
"SP",35,"30706","Mogi Guaçu",149396
"BA",29,"25303","Porto Seguro",149324
"MG",31,"52501","Pouso Alegre",147137
"SP",35,"25300","Jaú",146338
"RJ",33,"04144","Queimados",145386
"SP",35,"07506","Botucatu",142546
"MG",31,"68606","Teófilo Otoni",141934
"RJ",33,"04524","Rio das Ostras",141117
"SP",35,"04107","Atibaia",139683
"RS",43,"20008","Sapucaia do Sul",139476
"PE",26,"06002","Garanhuns",138642
"PE",26,"16407","Vitória de Santo Antão",137578
"PR",41,"01804","Araucária",137452
"PB",25,"13703","Santa Rita",136851
"MG",31,"05608","Barbacena",136689
"BA",29,"30709","Simões Filho",136050
"MG",31,"56700","Sabará",135968
"MT",51,"07909","Sinop",135874
"PR",41,"27700","Toledo",135538
"SC",42,"02008","Balneário Camboriú",135268
"MG",31,"70701","Varginha",134364
"PA",15,"02103","Cametá",134100
"PR",41,"01408","Apucarana",132691
"RO",11,"00122","Ji-Paraná",132667
"SP",35,"47304","Santana de Parnaíba",131887
"SP",35,"03307","Araras",131282
"CE",23,"04202","Crato",130604
"RS",43,"22400","Uruguaiana",129784
"PR",41,"19152","Pinhais",129445
"SC",42,"02909","Brusque",128818
"SP",35,"13504","Cubatão",128748
"ES",32,"04906","São Mateus",128449
"PA",15,"04422","Marituba",127858
"CE",23,"06405","Itapipoca",127465
"RS",43,"16808","Santa Cruz do Sul",127429
"MG",31,"18304","Conselheiro Lafaiete",127369
"RS",43,"03103","Cachoeirinha",127318
"PR",41,"04204","Campo Largo",127309
"RJ",33,"04201","Resende",126923
"RJ",33,"00209","Araruama",126742
"CE",23,"07700","Maranguape",126486
"PA",15,"07300","São Félix do Xingu",124806
"ES",32,"01506","Colatina",124525
"PA",15,"01709","Bragança",124184
"SP",35,"56206","Valinhos",124024
"ES",32,"02405","Guarapari",123166
"SP",35,"51702","Sertãozinho",122643
"MA",21,"07506","Paço do Lumiar",122420
"RJ",33,"02007","Itaguaí",122369
"MG",31,"71204","Vespasiano",122365
"RS",43,"01602","Bagé",122209
"SP",35,"43303","Ribeirão Pires",121848
"SP",35,"25003","Jandira",121492
"GO",52,"21403","Trindade",121266
"PA",15,"01303","Barcarena",121190
"MA",21,"03307","Codó",120810
"BA",29,"24009","Paulo Afonso",120706
"SP",35,"06508","Birigui",120692
"SP",35,"11102","Catanduva",120691
"SP",35,"05500","Barretos",120638
"SP",35,"18404","Guaratinguetá",120417
"SP",35,"57006","Votorantim",119898
"MG",31,"31703","Itabira",119285
"SP",35,"54003","Tatuí",118939
"SP",35,"56503","Várzea Paulista",118917
"PR",41,"01507","Arapongas",118477
"MS",50,"08305","Três Lagoas",117477
"MG",31,"03504","Araguari",117445
"SP",35,"10500","Caraguatatuba",116786
"SP",35,"23404","Itatiba",116503
"SP",35,"45209","Salto",116191
"GO",52,"08004","Formosa",115789
"SP",35,"39806","Poá",115488
"AP",16,"00600","Santana",115471
"PE",26,"06804","Igarassu",115398
"PR",41,"00400","Almirante Tamandaré",115364
"BA",29,"10727","Eunápolis",115290
"RS",43,"02105","Bento Gonçalves",115069
"MG",31,"47907","Passos",114458
"AM",13,"03403","Parintins",113832
"MG",31,"69901","Ubá",113300
"PE",26,"13701","São Lourenço da Mata",112099
"SP",35,"34708","Ourinhos",111813
"PA",15,"00602","Altamira",111435
"MA",21,"00055","Açailândia",111339
"PA",15,"08100","Tucuruí",110516
"MG",31,"19401","Coronel Fabriciano",110326
"GO",52,"15231","Novo Gama",110096
"PA",15,"05502","Paragominas",110026
"PR",41,"28104","Umuarama",109955
"MS",50,"03207","Corumbá",109899
"MG",31,"43906","Muriaé",108537
"PB",25,"10808","Patos",107790
"PR",41,"19509","Piraquara",107751
"RO",11,"00023","Ariquemes",107345
"PE",26,"12505","Santa Cruz do Capibaribe",105761
"GO",52,"20454","Senador Canedo",105459
"PR",41,"03701","Cambé",105347
"MG",31,"34202","Ituiutaba",104526
"SC",42,"18707","Tubarão",104457
"MG",31,"04007","Araxá",104283
"SE",28,"03500","Lagarto",104099
"RS",43,"07005","Erechim",103437
"MA",21,"01202","Bacabal",103359
"BA",29,"28703","Santo Antônio de Jesus",103342
"PA",15,"07953","Tailândia",103321
"SP",35,"04008","Assis",102924
"CE",23,"05506","Iguatu",102614
"GO",52,"11503","Itumbiara",102513
"SP",35,"36505","Paulínia",102499
"GO",52,"05109","Catalão",102393
"MG",31,"38203","Lavras",102124
"RN",24,"12005","São Gonçalo do Amarante",101492
"RJ",33,"02270","Japeri",101237
"SP",35,"26704","Leme",101184
"RJ",33,"02205","Itaperuna",99997
"RJ",33,"05208","São Pedro da Aldeia",99906
"PA",15,"01808","Breves",99896
"AM",13,"01902","Itacoatiara",99854
"PE",26,"00054","Abreu e Lima",99364
"RS",43,"09308","Guaíba",99334
"MT",51,"07958","Tangará da Serra",98828
"BA",29,"32903","Valença",98749
"SP",35,"22109","Itanhaém",98629
"PA",15,"03606","Itaituba",98523
"ES",32,"00607","Aracruz",98393
"SP",35,"09007","Caieiras",98223
"GO",52,"11909","Jataí",98128
"RJ",33,"00308","Barra do Piraí",97460
"PB",25,"01807","Bayeux",97010
"MG",31,"32404","Itajubá",97000
"AM",13,"02504","Manacapuru",96460
"RO",11,"00304","Vilhena",95630
"SP",35,"28502","Mairiporã",95601
"PR",41,"07652","Fazenda Rio Grande",95225
"SE",28,"02908","Itabaiana",95196
"MA",21,"01400","Balsas",94779
"MG",31,"45208","Nova Serrana",94681
"PE",26,"07208","Ipojuca",94533
"PR",41,"26256","Sarandi",94181
"PR",41,"04303","Campo Mourão",94153
"SP",35,"22406","Itapeva",93570
"SP",35,"57105","Votuporanga",92768
"MG",31,"47105","Pará de Minas",92739
"MG",31,"33808","Itaúna",92696
"SP",35,"08504","Caçapava",92587
"MG",31,"47006","Paracatu",92386
"SP",35,"30805","Mogi Mirim",92365
"MG",31,"44805","Nova Lima",92178
"MG",31,"13404","Caratinga",91841
"MT",51,"02504","Cáceres",91271
"MG",31,"62500","São João del Rei",90263
"SP",35,"49102","São João da Boa Vista",90089
"MG",31,"48103","Patrocínio",89983
"BA",29,"06501","Candeias",89707
"MS",50,"06606","Ponta Porã",89592
"SP",35,"04503","Avaré",89479
"SE",28,"06701","São Cristóvão",89232
"MG",31,"68705","Timóteo",88931
"GO",52,"17609","Planaltina",88863
"MG",31,"39409","Manhuaçu",88580
"RO",11,"00049","Cacoal",88507
"SP",35,"50605","São Roque",88473
"PR",41,"08403","Francisco Beltrão",88465
"SP",35,"55406","Ubatuba",88313
"MA",21,"09908","Santa Inês",88013
"SP",35,"27207","Lorena",87980
"PR",41,"18402","Paranavaí",87850
"MA",21,"01608","Barra do Corda",87135
"BA",29,"11709","Guanambi",86808
"CE",23,"11306","Quixadá",86605
"SP",35,"03901","Arujá",86430
"PE",26,"13909","Serra Talhada",85568
"SP",35,"50704","São Sebastião",85538
"TO",17,"09500","Gurupi",85523
"RS",43,"03004","Cachoeira do Sul",85495
"MT",51,"07925","Sorriso",85223
"RJ",33,"05505","Saquarema",85175
"GO",52,"04508","Caldas Novas",84900
"AM",13,"01209","Coari",84762
"RJ",33,"05554","Seropédica",84416
"RS",43,"07708","Esteio",84237
"MG",31,"70404","Unaí",83980
"PE",26,"01102","Araripina",83757
"BA",29,"17508","Jacobina",83635
"BA",29,"19553","Luís Eduardo Magalhães",83557
"RS",43,"10207","Ijuí",83330
"PE",26,"06408","Gravatá",83241
"BA",29,"30501","Serrinha",83088
"SC",42,"15802","São Bento do Sul",82842
"CE",23,"09706","Pacatuba",82824
"PE",26,"04007","Carpina",82685
"AC",12,"00203","Cruzeiro do Sul",82622
"SP",35,"09601","Campo Limpo Paulista",82520
"PA",15,"06138","Redenção",82464
"MA",21,"08603","Pinheiro",82374
"RS",43,"17103","Sant'Ana do Livramento",82312
"SP",35,"29302","Matão",82307
"SP",35,"13405","Cruzeiro",81724
"BA",29,"30105","Senhor do Bonfim",81218
"PR",41,"18501","Pato Branco",80710
"BA",29,"10057","Dias d'Ávila",80657
"RS",43,"19901","Sapiranga",80311
"RN",24,"07104","Macaíba",80031
"MG",31,"20904","Curvelo",79878
"PA",15,"04703","Moju",79825
"RS",43,"11403","Lajeado",79819
"MG",31,"01607","Alfenas",79707
"MG",31,"36207","João Monlevade",79590
"PR",41,"05508","Cianorte",79571
"RJ",33,"06008","Três Rios",79402
"PE",26,"06200","Goiana",79249
"CE",23,"01000","Aquiraz",79128
"RS",43,"17509","Santo Ângelo",79101
"MG",31,"69307","Três Corações",78999
"MA",21,"03208","Chapadinha",78965
"SC",42,"03204","Camboriú",78731
"CE",23,"11405","Quixeramobim",78658
"MG",31,"71303","Viçosa",78381
"RS",43,"00406","Alegrete",78003
"SP",35,"06102","Bebedouro",77761
"SP",35,"19709","Ibiúna",77566
"BA",29,"16401","Itapetinga",77533
"CE",23,"02800","Canindé",77514
"SC",42,"03006","Caçador",77323
"PR",41,"27106","Telêmaco Borba",77276
"SC",42,"11306","Navegantes",77137
"SP",35,"27108","Lins",77021
"PI",22,"08007","Picos",76928
"ES",32,"05101","Viana",76776
"SP",35,"24303","Jaboticabal",76563
"CE",23,"11801","Russas",76475
"AL",27,"07701","Rio Largo",76019
"PE",26,"01706","Belo Jardim",75986
"SP",35,"39301","Pirassununga",75474
"SP",35,"56701","Vinhedo",75129
"MG",31,"15300","Cataguases",75025
"CE",23,"13401","Tianguá",74719
"MG",31,"46107","Ouro Preto",74659
"BA",29,"14604","Irecê",74483
"CE",23,"04103","Crateús",74426
"RJ",33,"06107","Valença",74237
"AL",27,"06307","Palmeira dos Índios",74208
"SP",35,"09205","Cajamar",73921
"RN",24,"02600","Ceará-Mirim",73849
"SP",35,"22604","Itapira",73844
"PA",15,"05064","Novo Repartimento",73802
"SC",42,"04301","Concórdia",73766
"PE",26,"01201","Arcoverde",73667
"CE",23,"01109","Aracati",73629
"BA",29,"06006","Campo Formoso",73448
"BA",29,"07202","Casa Nova",73382
"RS",43,"17202","Santa Rosa",72753
"MA",21,"02325","Buriticupu",71979
"GO",52,"19753","Santo Antônio do Descoberto",71887
"MG",31,"35100","Janaúba",71653
"MA",21,"10005","Santa Luzia",71576
"PR",41,"04907","Castro",71501
"SP",35,"01905","Amparo",71193
"CE",23,"03501","Cascavel",71079
"PA",15,"05304","Oriximiná",71078
"CE",23,"09607","Pacajus",70911
"PA",15,"06708","Santana do Araguaia",70764
"BA",29,"03904","Bom Jesus da Lapa",70618
"MG",31,"64704","São Sebastião do Paraíso",70533
"RS",43,"22608","Venâncio Aires",70481
"BA",29,"04605","Brumado",69677
"PB",25,"16201","Sousa",69554
"RS",43,"07906","Farroupilha",69542
"SE",28,"02106","Estância",69278
"MA",21,"04800","Grajaú",69232
"SC",42,"14805","Rio do Sul",69188
"SP",35,"12803","Cosmópolis",69086
"MG",31,"24104","Esmeraldas",69010
"SP",35,"30508","Mococa",68994
"PA",15,"06500","Santa Izabel do Pará",68836
"PE",26,"09907","Ouricuri",68776
"SP",35,"15509","Fernandópolis",68670
"MG",31,"35209","Januária",68584
"MG",31,"26109","Formiga",68423
"BA",29,"08408","Conceição do Coité",68303
"PE",26,"05202","Escada",68281
"SP",35,"15103","Embu-Guaçu",68270
"RN",24,"02006","Caicó",68222
"PB",25,"03209","Cabedelo",68033
"MA",21,"05401","Itapecuru Mirim",67726
"GO",52,"08608","Goianésia",67507
"CE",23,"05407","Icó",67486
"SC",42,"05902","Gaspar",67392
"BA",29,"15601","Itamaraju",67356
"SP",35,"26803","Lençóis Paulista",67185
"PA",15,"02202","Capanema",67150
"SC",42,"01406","Araranguá",67110
"PE",26,"10905","Pesqueira",66881
"BA",29,"14703","Itaberaba",66806
"GO",52,"05497","Cidade Ocidental",66777
"SP",35,"37602","Peruíbe",66572
"SC",42,"02305","Biguaçu",66558
"SC",42,"07502","Indaial",66497
"AL",27,"09301","União dos Palmares",66477
"RS",43,"03509","Camaquã",66215
"CE",23,"05233","Horizonte",65928
"SP",35,"55000","Tupã",65758
"RS",43,"22509","Vacaria",65397
"BA",29,"09802","Cruz das Almas",64932
"RS",43,"03905","Campo Bom",64914
"PR",41,"22404","Rolândia",64726
"AL",27,"06703","Penedo",64497
"MA",21,"03604","Coroatá",64403
"PE",26,"14501","Surubim",64373
"PA",15,"01782","Breu Branco",64194
"RS",43,"12401","Montenegro",63868
"MG",31,"49309","Pedro Leopoldo",63837
"AM",13,"04062","Tabatinga",63635
"RS",43,"06106","Cruz Alta",63463
"CE",23,"02602","Camocim",62985
"RS",43,"18309","São Gabriel",62957
"PE",26,"10004","Palmares",62832
"RS",43,"18002","São Borja",62808
"GO",52,"13103","Mineiros",62750
"SP",35,"37305","Penápolis",62738
"PI",22,"08403","Piripiri",62733
"BA",29,"14000","Ipirá",62631
"MA",21,"01707","Barreirinhas",62458
"RS",43,"04705","Carazinho",62339
"PA",15,"03457","Ipixuna do Pará",62237
"AM",13,"02900","Maués",62212
"CE",23,"00200","Acaraú",62199
"PB",25,"03704","Cajazeiras",62187
"PE",26,"09402","Moreno",62119
"AM",13,"04203","Tefé",62021
"BA",29,"28604","Santo Amaro",61961
"BA",29,"10701","Euclides da Cunha",61924
"AL",27,"08600","São Miguel dos Campos",61827
"MG",31,"37601","Lagoa Santa",61752
"PA",15,"08001","Tomé-Açu",61709
"CE",23,"08708","Morada Nova",61548
"MT",51,"05259","Lucas do Rio Verde",61515
"SP",35,"05906","Batatais",61480
"SC",42,"08302","Itapema",61187
"PA",15,"03309","Igarapé-Miri",60994
"PA",15,"01501","Benevides",60990
"PE",26,"01904","Bezerros",60549
"PE",26,"12208","Salgueiro",60453
"PR",41,"10706","Irati",60425
"MG",31,"52105","Ponte Nova",60361
"PA",15,"05809","Portel",60322
"CE",23,"14102","Viçosa do Ceará",60030
"MG",31,"40001","Mariana",59857
"CE",23,"01901","Barbalha",59811
"PA",15,"08308","Viseu",59735
"SP",35,"06359","Bertioga",59297
"MT",51,"07040","Primavera do Leste",59293
"MT",51,"01803","Barra do Garças",58974
"PI",22,"03909","Floriano",58969
"CE",23,"07601","Limoeiro do Norte",58915
"PB",25,"06301","Guarabira",58881
"PE",26,"13008","São Bento do Una",58824
"MG",31,"27107","Frutal",58770
"SP",35,"30300","Mirassol",58760
"SP",35,"19600","Ibitinga",58715
"MA",21,"12506","Tutóia",58605
"RJ",33,"04300","Rio Bonito",58272
"SP",35,"33403","Nova Odessa",58227
"RN",24,"00208","Açu",58183
"CE",23,"13302","Tauá",58119
"PA",15,"02939","Dom Eliseu",58071
"RJ",33,"01850","Guapimirim",57921
"SP",35,"07001","Boituva",57910
"PE",26,"02803","Buíque",57696
"AL",27,"01407","Campo Alegre",57548
"RS",43,"21204","Taquara",57544
"PA",15,"03804","Jacundá",57526
"PA",15,"08126","Ulianópolis",57525
"AL",27,"02306","Coruripe",57498
"PA",15,"07607","São Miguel do Guamá",57364
"SP",35,"02101","Andradina",57350
"SP",35,"31803","Monte Mor",57240
"MG",31,"69406","Três Pontas",57097
"RO",11,"00288","Rolim de Moura",57074
"RJ",33,"00803","Cachoeiras de Macacu",57048
"SP",35,"24006","Itupeva",57031
"PR",41,"28203","União da Vitória",57027
"SP",35,"53708","Taquaritinga",56951
"MG",31,"61106","São Francisco",56805
"MG",31,"51206","Pirapora",56706
"MA",21,"12704","Vargem Grande",56511
"PA",15,"04802","Monte Alegre",56466
"BA",29,"07509","Catu",56459
"SP",35,"42602","Registro",56430
"PA",15,"03903","Juruti",56325
"RS",43,"14050","Parobé",56277
"PE",26,"08909","Limoeiro",56140
"RS",43,"04507","Canguçu",56103
"BA",29,"17607","Jaguaquara",56033
"SP",35,"46801","Santa Isabel",56014
"PE",26,"10608","Paudalho",55942
"BA",29,"02104","Araci",55935
"SC",42,"10100","Mafra",55907
"RO",11,"00114","Jaru",55871
"SP",35,"40705","Porto Ferreira",55432
"GO",52,"06206","Cristalina",55347
"PA",15,"00404","Alenquer",55246
"CE",23,"13500","Trairi",55207
"SP",35,"37800","Piedade",55092
"BA",29,"26608","Ribeira do Pombal",54965
"BA",29,"02708","Barra",54915
"SC",42,"07007","Içara",54845
"SP",35,"49706","São José do Rio Pardo",54734
"AM",13,"02702","Manicoré",54708
"MS",50,"07901","Sidrolândia",54575
"MG",31,"11200","Campo Belo",54458
"SC",42,"03808","Canoinhas",54403
"CE",23,"04707","Granja",54365
"SP",35,"10401","Capivari",54298
"SP",35,"31100","Mongaguá",54257
"SP",35,"24709","Jaguariúna",54204
"PA",15,"00206","Acará",54096
"CE",23,"02404","Boa Viagem",54049
"SP",35,"33908","Olímpia",54037
"BA",29,"28802","Santo Estêvão",53898
"MG",31,"18007","Congonhas",53843
"CE",23,"00309","Acopiara",53572
"AM",13,"01704","Humaitá",53383
"PR",41,"09807","Ibiporã",53356
"MG",31,"38401","Leopoldina",53354
"MS",50,"05707","Naviraí",53188
"CE",23,"02206","Beberibe",53110
"PE",26,"15300","Timbaúba",53083
"BA",29,"05206","Caetité",52853
"PA",15,"02301","Capitão Poço",52839
"TO",17,"18204","Porto Nacional",52828
"PB",25,"15302","Sapé",52697
"CE",23,"04285","Eusébio",52667
"MS",50,"06200","Nova Andradina",52625
"AL",27,"02405","Delmiro Gouveia",52597
"BA",29,"31905","Tucano",52540
"SP",35,"40606","Porto Feliz",52507
"GO",52,"10000","Inhumas",52311
"MG",31,"28709","Guaxupé",52294
"AL",27,"04708","Marechal Deodoro",52260
"PA",15,"08209","Vigia",52216
"SE",28,"07402","Tobias Barreto",52156
"PR",41,"20606","Prudentópolis",52125
"SC",42,"19309","Videira",52066
"SP",35,"03802","Artur Nogueira",51986
"BA",29,"21500","Monte Santo",51953
"CE",23,"06306","Itapajé",51945
"PA",15,"03705","Itupiranga",51835
"PR",41,"14609","Marechal Cândido Rondon",51795
"MA",21,"12803","Viana",51738
"SP",35,"09700","Campos do Jordão",51454
"MG",31,"37205","Lagoa da Prata",51204
"MA",21,"14007","Zé Doca",51084
"ES",32,"03908","Nova Venécia",50991
"BA",29,"19801","Macaúbas",50987
"PA",15,"06187","Rondon do Pará",50925
"SP",35,"49409","São Joaquim da Barra",50921
"MG",31,"31901","Itabirito",50816
"PA",15,"05106","Óbidos",50727
"SC",42,"16206","São Francisco do Sul",50701
"RS",43,"17400","Santiago",50658
"RJ",33,"03609","Paracambi",50447
"SP",35,"23206","Itararé",50379
"TO",17,"16109","Paraíso do Tocantins",50360
"SP",35,"56453","Vargem Grande Paulista",50346
"MT",51,"00250","Alta Floresta",50189
"MG",31,"07307","Bocaiúva",50168
"PE",26,"02605","Brejo da Madre de Deus",50138
"MG",31,"07406","Bom Despacho",50042
"SP",35,"31308","Monte Alto",49979
"MA",21,"05708","Lago da Pedra",49856
"SC",42,"19507","Xanxerê",49738
"SP",35,"44103","Rio Grande da Serra",49408
"SP",35,"24808","Jales",49110
"PA",15,"06195","Rurópolis",49093
"PR",41,"17602","Palmas",48990
"BA",29,"25105","Poções",48861
"CE",23,"02503","Brejo Santo",48830
"MA",21,"03406","Coelho Neto",48756
"MG",31,"36306","João Pinheiro",48751
"PR",41,"06407","Cornélio Procópio",48677
"GO",52,"18508","Quirinópolis",48508
"RS",43,"04630","Capão da Canoa",48401
"BA",29,"33604","Xique-Xique",48365
"CE",23,"12403","São Gonçalo do Amarante",48265
"MG",31,"43104","Monte Carmelo",48248
"AL",27,"08006","Santana do Ipanema",48232
"MG",31,"21605","Diamantina",48230
"GO",52,"11800","Jaraguá",48216
"PE",26,"02100","Bom Conselho",48214
"PR",41,"13205","Lapa",48067
"SP",35,"08405","Cabreúva",47877
"AL",27,"00409","Atalaia",47744
"BA",29,"13903","Ipiaú",47704
"SP",35,"40200","Pontal",47638
"MG",31,"60702","Santos Dumont",47561
"AP",16,"00279","Laranjal do Jari",47554
"RS",43,"21600","Tramandaí",47521
